id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
187265553,2023/08/20 5:37 PM,2023-08-20,2023-08-20 20:37:00 UTC,America/Argentina/Cordoba,981840,diegoarosa,Diego Alfonso Rosa,2023-10-12 17:20:28 UTC,2024-01-13 22:16:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/187265553,https://static.inaturalist.org/photos/327448272/medium.jpeg,,,,3,0,false,,"San Martín, AR-CN, AR",-28.5292517366,-57.0654208705,,,,,29607,,obscured,true,,,Nutria de río,Lontra longicaudis,Nutria de río,Mammalia,41778
187929979,2023/09/08 6:01 PM,2023-09-08,2023-09-08 23:01:00 UTC,America/Guayaquil,6881383,jon_blanco,Jon Blanco,2023-10-17 18:41:26 UTC,2023-10-25 17:05:25 UTC,research,,https://www.inaturalist.org/observations/187929979,https://static.inaturalist.org/photos/328761610/medium.jpeg,,,,2,0,false,,"Orellana, EC-OR, EC",-0.778745437,-76.2733329367,737,,,,31450,,obscured,true,,,Nutria de río,Lontra longicaudis,Nutria de río,Mammalia,41778
188100262,9/27/2023,2023-09-27,,America/Costa_Rica,221631,hdemann,Scott Bowers,2023-10-19 02:49:29 UTC,2023-10-29 06:04:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/188100262,https://inaturalist-open-data.s3.amazonaws.com/photos/329112167/medium.jpg,,,See http://www.planetscott.com/speciesdetail/10126/neotropical-river-otter-(lontra-longicaudis) for more info,1,0,false,215,"Limón, CR",10.4894204083,-83.5050643946,,,,,31189,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
188383773,2023-10-21 11:45:45,2023-10-21,2023-10-21 14:45:45 UTC,Montevideo,2079928,rpereirag,Ramiro Pereira Garbero,2023-10-21 14:50:31 UTC,2023-10-23 16:05:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/188383773,https://inaturalist-open-data.s3.amazonaws.com/photos/329715718/medium.jpeg,,,,1,0,false,2,Uruguay,-34.7013280822,-54.4783508847,6,,,,28790,,obscured,true,,,Lobito de Río,Lontra longicaudis,Nutria de río,Mammalia,41778
188403361,2023/07/03 1:29 PM,2023-07-03,2023-07-03 16:29:00 UTC,America/Argentina/Cordoba,351773,heron53520,Hannes Leonard,2023-10-21 17:35:16 UTC,2024-03-22 19:40:41 UTC,research,,https://www.inaturalist.org/observations/188403361,https://static.inaturalist.org/photos/329738707/medium.jpeg,,,,3,0,false,,"San Martín, AR-CN, AR",-28.4920237477,-57.144649551,1066,,,,29607,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
188572022,2023/08/19 17:18,2023-08-19,2023-08-19 23:18:00 UTC,America/Costa_Rica,2663055,b_louboutin,Bastien Louboutin,2023-10-22 20:38:31 UTC,2023-10-26 07:35:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/188572022,https://inaturalist-open-data.s3.amazonaws.com/photos/330075107/medium.jpg,,,,2,0,false,,"Limón, CR",10.4054766986,-83.5149370456,,,,,31189,,obscured,true,,,Lontra longicaudis,Lontra longicaudis,Nutria de río,Mammalia,41778
188798348,2023/10/22 10:19 AM,2023-10-22,2023-10-22 16:19:00 UTC,Mexico City,789695,volitans,Juan G. Sánchez,2023-10-24 17:00:50 UTC,2024-01-23 14:24:20 UTC,research,CC-BY,https://www.inaturalist.org/observations/188798348,https://inaturalist-open-data.s3.amazonaws.com/photos/330547397/medium.png,,,,4,0,false,,"Medellín, Ver., México",18.9803801051,-96.0736834983,2,,,,2,,open,false,,,Nutria de río,Lontra longicaudis,Nutria de río,Mammalia,41778
188967711,2023-10-25 17:10:37,2023-10-25,2023-10-25 23:10:37 UTC,America/Costa_Rica,7540036,dylan26941,Dylan Smith,2023-10-26 02:39:29 UTC,2023-10-26 07:33:44 UTC,research,,https://www.inaturalist.org/observations/188967711,https://static.inaturalist.org/photos/330895112/medium.jpeg,,,,2,0,false,2,"Limón, CR",10.4515723396,-83.4266220539,,,,,31189,,obscured,true,gps,gps,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
189012592,2023-10-26 08:05:28,2023-10-26,2023-10-26 13:05:28 UTC,America/Guayaquil,1114896,tommy_andriollo,Tommy Andriollo,2023-10-26 14:59:24 UTC,2023-12-31 07:00:50 UTC,research,CC-BY,https://www.inaturalist.org/observations/189012592,https://inaturalist-open-data.s3.amazonaws.com/photos/342890129/medium.jpeg,,,,1,0,false,2,"Orellana, EC",-0.6661593238,-76.0398698521,5,,,,31450,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
189023072,2023-08-14 11:44:53-04:00,2023-08-14,2023-08-14 15:44:53 UTC,America/Guayaquil,5941924,bobmahone13,,2023-10-26 16:38:13 UTC,2023-10-27 07:02:24 UTC,research,,https://www.inaturalist.org/observations/189023072,https://static.inaturalist.org/photos/331007000/medium.jpg,,,,2,0,false,3,Ecuador,-0.4953626303,-76.2457889701,259,,,,31451,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
